Date,"Close Price"
"2015-09-05 09:20:00",1.27
"2015-09-12 09:20:00",1.01
"2015-09-19 09:20:00",0.85
"2015-09-26 09:20:00",0.72
"2015-10-03 09:20:00",0.69
"2015-10-10 09:20:00",0.64
"2015-10-17 09:20:00",0.54
"2015-10-24 09:20:00",0.54
"2015-10-31 09:20:00",0.98
"2015-11-07 09:20:00",0.86
"2015-11-14 09:20:00",0.9
"2015-11-21 09:20:00",0.95
"2015-11-28 09:20:00",0.88
"2015-12-05 09:20:00",0.82
"2015-12-12 09:20:00",0.95
"2015-12-19 09:20:00",0.9
"2015-12-26 09:20:00",0.92
"2016-01-02 09:20:00",0.96
"2016-01-09 09:20:00",0.98
"2016-01-16 09:20:00",1.22
"2016-01-23 09:20:00",1.7
"2016-01-30 09:20:00",2.55
"2016-02-06 09:20:00",2.51
"2016-02-13 09:20:00",5.06
"2016-02-20 09:20:00",4.46
"2016-02-27 09:20:00",6.22
"2016-03-05 09:20:00",10.48
"2016-03-12 09:20:00",13.03
"2016-03-19 09:20:00",10.9
"2016-03-26 09:20:00",11.03
"2016-04-02 09:20:00",11.43
"2016-04-09 09:20:00",9.9
"2016-04-16 09:20:00",8.24
"2016-04-23 09:20:00",7.98
"2016-04-30 09:20:00",7.77
"2016-05-07 09:20:00",9.35
"2016-05-14 09:20:00",9.86
"2016-05-21 09:20:00",13.39
"2016-05-28 09:20:00",10.92
"2016-06-04 09:20:00",13.59
"2016-06-11 09:20:00",13.78
"2016-06-18 09:20:00",13.79
"2016-06-25 09:20:00",14.23
"2016-07-02 09:20:00",11.99
"2016-07-09 09:20:00",10.7
"2016-07-16 09:20:00",11.8
"2016-07-23 09:20:00",14.56
"2016-07-30 09:20:00",12.6
"2016-08-06 09:20:00",10.44
"2016-08-13 09:20:00",11.77
"2016-08-20 09:20:00",11.06
"2016-08-27 09:20:00",11.22
"2016-09-03 09:20:00",11.99
"2016-09-10 09:20:00",11.71
"2016-09-17 09:20:00",12.59
"2016-09-24 09:20:00",13.23
"2016-10-01 09:20:00",13.16
"2016-10-08 09:20:00",12.08
"2016-10-15 09:20:00",11.75
"2016-10-22 09:20:00",11.75
"2016-10-29 09:20:00",11.06
"2016-11-05 09:20:00",11.1
"2016-11-12 09:20:00",10.22
"2016-11-19 09:20:00",9.72
"2016-11-26 09:20:00",9.29
"2016-12-03 09:20:00",7.98
"2016-12-10 09:20:00",8.36
"2016-12-17 09:20:00",7.6
"2016-12-24 09:20:00",7.23
"2016-12-31 09:20:00",7.98
"2017-01-07 09:20:00",9.91
"2017-01-14 09:20:00",9.59
"2017-01-21 09:20:00",10.57
"2017-01-28 09:20:00",10.52
"2017-02-04 09:20:00",11.25
"2017-02-11 09:20:00",11.29
"2017-02-18 09:20:00",12.81
"2017-02-25 09:20:00",13.26
"2017-03-04 09:20:00",19.66
"2017-03-11 09:20:00",19.46
"2017-03-18 09:20:00",39.91
"2017-03-25 09:20:00",49.22
"2017-04-01 09:20:00",48.81
"2017-04-08 09:20:00",44.3
"2017-04-15 09:20:00",48.94
"2017-04-22 09:20:00",51.49
"2017-04-29 09:20:00",72.49
"2017-05-06 09:20:00",92.42
"2017-05-12 13:14:26",91.88
"2017-05-16 01:14:23",92.6
"2017-05-19 13:14:23",115.48
"2017-05-23 01:14:27",171.69
"2017-05-26 13:25:00",178.79
"2017-05-30 01:25:00",185.75
"2017-06-02 13:25:00",211.19
"2017-06-06 01:25:00",236.84
"2017-06-09 13:45:00",263.01
"2017-06-13 01:45:00",385.44
"2017-06-16 13:45:00",339.46
"2017-06-20 01:45:00",359.36
"2017-06-23 20:30:00",324.86
"2017-06-30 20:30:00",282.44
"2017-07-07 20:30:00",244.42
"2017-07-14 20:30:00",187.55
"2017-07-19 15:59:07",228.4
"2017-07-23 03:59:08",229.3
"2017-07-26 16:10:00",194.87
"2017-07-30 04:25:08",202.01
"2017-08-02 16:49:25",221.39
"2017-08-06 04:54:11",259.32
"2017-08-10 04:10:00",292.54
"2017-08-13 16:10:00",296.46
"2017-08-17 23:20:00",301.42
"2017-08-21 12:10:00",300.26
"2017-08-25 06:25:04",331.68
"2017-08-29 02:30:02",347.9
"2017-09-01 20:30:02",391.07
"2017-09-05 17:00:02",304.07
"2017-09-11 21:10:02",301.42
"2017-09-18 21:20:02",290.52
"2017-09-25 21:40:03",296.24
"2017-10-02 21:45:02",296.01
"2017-10-09 22:15:02",296.6
"2017-10-16 23:15:02",336.43
"2017-10-23 23:25:02",286.48
"2017-10-30 23:30:02",306.69
"2017-11-06 23:35:02",299.58
"2017-11-14 01:50:09",318.38
"2017-11-21 04:20:07",355.11
"2017-11-28 07:15:05",482.31
"2017-12-05 22:20:04",469.2
"2017-12-13 13:10:04",680.95
"2017-12-20 16:05:02",817.43
"2017-12-27 16:15:03",765.29
"2018-01-03 16:40:03",894.5
"2018-01-10 17:55:02",1343.22

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
